Uniprot Accession	Description	Gene name	MW [kDa]	COG class	Annotated functional COG group (description)	Annotated functional COG class
P0A6W0	Glutaminase 2 OS=Escherichia coli (strain K12) GN=glsA2 PE=3 SV=1	glsA	33.47609614	-		
P0ACC1	Protein methyltransferase hemK OS=Escherichia coli (strain K12) GN=hemK PE=1 SV=1	hemK	30.93763414	-		
P00892	Acetolactate synthase isozyme 2 large subunit OS=Escherichia coli (strain K12) GN=ilvG PE=1 SV=3	ilvG	59.22874221	-		
B8LFD5	Lac repressor OS=Escherichia coli (strain K12) PE=4 SV=1	NA	38.8341893	-		
P45532	Sulfurtransferase tusD OS=Escherichia coli (strain K12) GN=tusD PE=1 SV=1	tusD	13.614822	-		
P0AB18	Sulfurtransferase tusE OS=Escherichia coli (strain K12) GN=tusE PE=1 SV=1	tusE	12.38441873	-		
P56258	4-alpha-L-fucosyltransferase OS=Escherichia coli (strain K12) GN=wecF PE=1 SV=2	wecF	40.5958448	-		
P27836	Probable UDP-N-acetyl-D-mannosaminuronic acid transferase OS=Escherichia coli (strain K12) GN=wecG PE=3 SV=2	wecG	27.89260086	-		
P0AFU4	Uncharacterized protein yfhA OS=Escherichia coli (strain K12) GN=yfhA PE=3 SV=1	yfhA	49.09978119	-		
P64423	Zinc transport protein ZntB OS=Escherichia coli (strain K12) GN=zntB PE=1 SV=1	zntB	36.57059722	-		
P24177	Probable aminoglycoside efflux pump OS=Escherichia coli (strain K12) GN=acrD PE=3 SV=3	acrD	112.9571519	V	Defense mechanisms	CELLULAR PROCESSES AND SIGNALING
P0AE14	Protein AmpE OS=Escherichia coli (strain K12) GN=ampE PE=1 SV=1	ampE	32.08328877	V	Defense mechanisms	CELLULAR PROCESSES AND SIGNALING
P76398	Multidrug resistance protein MdtB OS=Escherichia coli (strain K12) GN=mdtB PE=2 SV=1	mdtB	111.9886069	V	Defense mechanisms	CELLULAR PROCESSES AND SIGNALING
P37637	Multidrug resistance protein MdtF OS=Escherichia coli (strain K12) GN=mdtF PE=1 SV=1	mdtF	111.4278252	V	Defense mechanisms	CELLULAR PROCESSES AND SIGNALING
P0AAA9	Zinc resistance-associated protein OS=Escherichia coli (strain K12) GN=zraP PE=1 SV=1	zraP	15.17131795	UNTP	Intracellular trafficking, secretion, and vesicular transport	CELLULAR PROCESSES AND SIGNALING
P33647	mRNA interferase ChpB OS=Escherichia coli (strain K12) GN=chpB PE=1 SV=1	chpB	12.46647567	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P0AFX7	Sigma-E factor negative regulatory protein OS=Escherichia coli (strain K12) GN=rseA PE=1 SV=1	rseA	24.28799697	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P18392	Sensor protein rstB OS=Escherichia coli (strain K12) GN=rstB PE=1 SV=2	rstB	49.23345324	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P76502	Phosphohistidine phosphatase sixA OS=Escherichia coli (strain K12) GN=sixA PE=1 SV=1	sixA	17.1785693	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P41039	Uncharacterized protein ybiI OS=Escherichia coli (strain K12) GN=ybiI PE=1 SV=1	ybiI	9.73170726	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P0AD14	Inner membrane protein yehU OS=Escherichia coli (strain K12) GN=yehU PE=1 SV=1	yehU	62.03463444	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P08365	Antitoxin ChpS OS=Escherichia coli (strain K12) GN=chpS PE=1 SV=1	chpS	9.24764529	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P14376	Sensor kinase protein RcsC OS=Escherichia coli (strain K12) GN=rcsC PE=1 SV=3	rcsC	106.4208268	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P76446	Protein Rtn OS=Escherichia coli (strain K12) GN=rtn PE=2 SV=1	rtn	58.53256207	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P08368	Transcriptional regulatory protein CreB OS=Escherichia coli (strain K12) GN=creB PE=3 SV=1	creB	26.09080672	TK	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P0AFJ5	Phosphate regulon transcriptional regulatory protein phoB OS=Escherichia coli (strain K12) GN=phoB PE=1 SV=1	phoB	26.398404	TK	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P77302	Probable diguanylate cyclase YdaM OS=Escherichia coli (strain K12) GN=ydaM PE=1 SV=2	ydaM	46.4049105	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P31129	Diguanylate cyclase YdeH OS=Escherichia coli (strain K12) GN=ydeH PE=1 SV=2	ydeH	33.82393182	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P76237	Putative diguanylate cylase YeaJ OS=Escherichia coli (strain K12) GN=yeaJ PE=2 SV=2	yeaJ	56.54898294	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P76245	Probable diguanylate cyclase YeaP OS=Escherichia coli (strain K12) GN=yeaP PE=1 SV=2	yeaP	38.50342049	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P23842	Uncharacterized protein YfeA OS=Escherichia coli (strain K12) GN=yfeA PE=2 SV=2	yfeA	83.45188215	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P32677	Uncharacterized HTH-type transcriptional regulator yijO OS=Escherichia coli (strain K12) GN=yijO PE=4 SV=1	yijO	32.11133842	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P52106	CsgBAC operon transcriptional regulatory protein OS=Escherichia coli (strain K12) GN=csgD PE=1 SV=1	csgD	24.9020035	TK	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P0A8V0	Ribonuclease Z OS=Escherichia coli (strain K12) GN=rnz PE=1 SV=1	rbn	32.89088317	S	Function unknown	POORLY CHARACTERIZED
P0A8H8	UPF0243 zinc-binding protein yacG OS=Escherichia coli (strain K12) GN=yacG PE=1 SV=1	yacG	7.28340821	S	Function unknown	POORLY CHARACTERIZED
P0AA97	Uncharacterized protein yaeQ OS=Escherichia coli (strain K12) GN=yaeQ PE=1 SV=1	yaeQ	20.84549274	S	Function unknown	POORLY CHARACTERIZED
P0A8D3	UPF0178 protein yaiI OS=Escherichia coli (strain K12) GN=yaiI PE=1 SV=1	yaiI	16.94074665	S	Function unknown	POORLY CHARACTERIZED
P51024	Uncharacterized protein yaiL OS=Escherichia coli (strain K12) GN=yaiL PE=4 SV=2	yaiL	19.89257974	S	Function unknown	POORLY CHARACTERIZED
P0AAS9	Uncharacterized protein ybdD OS=Escherichia coli (strain K12) GN=ybdD PE=4 SV=1	ybdD	7.44444419	S	Function unknown	POORLY CHARACTERIZED
P24252	Uncharacterized protein ybgA OS=Escherichia coli (strain K12) GN=ybgA PE=4 SV=1	ybgA	20.18048824	S	Function unknown	POORLY CHARACTERIZED
P75767	UPF0052 protein ybhK OS=Escherichia coli (strain K12) GN=ybhK PE=3 SV=1	ybhK	32.74941328	S	Function unknown	POORLY CHARACTERIZED
P0A8C1	UPF0145 protein ybjQ OS=Escherichia coli (strain K12) GN=ybjQ PE=1 SV=1	ybjQ	11.41179062	S	Function unknown	POORLY CHARACTERIZED
P75839	UPF0702 transmembrane protein ycaP OS=Escherichia coli (strain K12) GN=ycaP PE=3 SV=1	ycaP	26.24669386	S	Function unknown	POORLY CHARACTERIZED
P37052	UPF0225 protein ychJ OS=Escherichia coli (strain K12) GN=ychJ PE=1 SV=2	ychJ	16.9609477	S	Function unknown	POORLY CHARACTERIZED
P0ACV4	Inner membrane protein yciS OS=Escherichia coli (strain K12) GN=yciS PE=1 SV=1	yciS	11.32627978	S	Function unknown	POORLY CHARACTERIZED
P0A8R7	UPF0283 membrane protein ycjF OS=Escherichia coli (strain K12) GN=ycjF PE=1 SV=1	ycjF	39.34943739	S	Function unknown	POORLY CHARACTERIZED
P76076	Uncharacterized protein ydbL OS=Escherichia coli (strain K12) GN=ydbL PE=4 SV=2	ydbL	11.85235305	S	Function unknown	POORLY CHARACTERIZED
P76231	Uncharacterized protein yeaC OS=Escherichia coli (strain K12) GN=yeaC PE=4 SV=2	yeaC	10.31309727	S	Function unknown	POORLY CHARACTERIZED
P37348	UPF0759 protein yecE OS=Escherichia coli (strain K12) GN=yecE PE=1 SV=4	yecE	31.44129762	S	Function unknown	POORLY CHARACTERIZED
P76318	Uncharacterized protein yedK OS=Escherichia coli (strain K12) GN=yedK PE=1 SV=2	yedK	24.94547371	S	Function unknown	POORLY CHARACTERIZED
P0AD24	UPF0352 protein yejL OS=Escherichia coli (strain K12) GN=yejL PE=1 SV=1	yejL	8.26527759	S	Function unknown	POORLY CHARACTERIZED
P33644	UPF0124 protein yfiH OS=Escherichia coli (strain K12) GN=yfiH PE=1 SV=1	yfiH	26.3040757	S	Function unknown	POORLY CHARACTERIZED
P52060	UPF0235 protein yggU OS=Escherichia coli (strain K12) GN=yggU PE=3 SV=2	yggU	10.43176399	S	Function unknown	POORLY CHARACTERIZED
P67624	UPF0270 protein yheU OS=Escherichia coli (strain K12) GN=yheU PE=3 SV=1	yheU	8.4462252	S	Function unknown	POORLY CHARACTERIZED
P23305	Uncharacterized protein yigA OS=Escherichia coli (strain K12) GN=yigA PE=4 SV=1	yigA	26.69389682	S	Function unknown	POORLY CHARACTERIZED
P0ADB7	Entericidin B OS=Escherichia coli (strain K12) GN=ecnB PE=3 SV=1	ecnB	4.78851531	S	Function unknown	POORLY CHARACTERIZED
P67697	Antitoxin HicB OS=Escherichia coli (strain K12) GN=hicB PE=1 SV=2	hicB	15.21898275	S	Function unknown	POORLY CHARACTERIZED
P0AB20	Heat shock protein hspQ OS=Escherichia coli (strain K12) GN=hspQ PE=1 SV=2	hspQ	11.75387245	S	Function unknown	POORLY CHARACTERIZED
P0ADV9	Lipopolysaccharide export system protein lptC OS=Escherichia coli (strain K12) GN=lptC PE=1 SV=1	lptC	21.67113798	S	Function unknown	POORLY CHARACTERIZED
P0A8N0	UPF0268 protein ycbG OS=Escherichia coli (strain K12) GN=ycbG PE=3 SV=1	matP	17.66437878	S	Function unknown	POORLY CHARACTERIZED
P77182	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein mnmC OS=Escherichia coli (strain K12) GN=mnmC PE=1 SV=2	mnmC	74.36885895	S	Function unknown	POORLY CHARACTERIZED
P76079	Phenylacetic acid degradation protein paaC OS=Escherichia coli (strain K12) GN=paaC PE=1 SV=1	paaC	27.84207375	S	Function unknown	POORLY CHARACTERIZED
P60782	Probable glycerol-3-phosphate acyltransferase OS=Escherichia coli (strain K12) GN=plsY PE=1 SV=1	plsY	22.16083806	S	Function unknown	POORLY CHARACTERIZED
P0AG71	DNA recombination protein rmuC OS=Escherichia coli (strain K12) GN=rmuC PE=1 SV=1	rmuC	54.71272213	S	Function unknown	POORLY CHARACTERIZED
P18393	Uncharacterized protein ybdZ OS=Escherichia coli (strain K12) GN=ybdZ PE=4 SV=1	ybdZ	8.24787699	S	Function unknown	POORLY CHARACTERIZED
P0AB35	Uncharacterized protein ycfJ OS=Escherichia coli (strain K12) GN=ycfJ PE=4 SV=1	ycfJ	18.89071457	S	Function unknown	POORLY CHARACTERIZED
P77433	Uncharacterized protein ykgG OS=Escherichia coli (strain K12) GN=ykgG PE=3 SV=2	ykgG	25.17892327	S	Function unknown	POORLY CHARACTERIZED
P42626	UPF0597 protein yhaM OS=Escherichia coli (strain K12) GN=yhaM PE=3 SV=3	yhaM	45.31401645	S	Function unknown	POORLY CHARACTERIZED
P46474	Uncharacterized protein yhdP OS=Escherichia coli (strain K12) GN=yhdP PE=4 SV=4	yhdP	138.9491541	S	Function unknown	POORLY CHARACTERIZED
P0AF59	Uncharacterized protein yjdI OS=Escherichia coli (strain K12) GN=yjdI PE=1 SV=1	yjdI	8.526257	S	Function unknown	POORLY CHARACTERIZED
P64517	Uncharacterized protein yodC OS=Escherichia coli (strain K12) GN=yodC PE=1 SV=1	yodC	6.65608542	S	Function unknown	POORLY CHARACTERIZED
P0AD40	Uncharacterized protein ypeB OS=Escherichia coli (strain K12) GN=ypeB PE=4 SV=1	ypeB	8.39161238	S	Function unknown	POORLY CHARACTERIZED
P39321	Uncharacterized protein ytfN OS=Escherichia coli (strain K12) GN=ytfN PE=1 SV=2	tamB	136.6770266	S	Function unknown	POORLY CHARACTERIZED
P27250	Uncharacterized zinc-type alcohol dehydrogenase-like protein YjgB OS=Escherichia coli (strain K12) GN=yjgB PE=3 SV=2	ahr	36.46044988	R	General function prediction only	POORLY CHARACTERIZED
P0AFP4	Uncharacterized oxidoreductase ybbO OS=Escherichia coli (strain K12) GN=ybbO PE=3 SV=1	ybbO	29.37310702	R	General function prediction only	POORLY CHARACTERIZED
P0AF52	Putative permease yjcD OS=Escherichia coli (strain K12) GN=yjcD PE=1 SV=1	ghxP	45.66388814	R	General function prediction only	POORLY CHARACTERIZED
P0AEH3	Protein elaA OS=Escherichia coli (strain K12) GN=elaA PE=3 SV=1	elaA	17.39065594	R	General function prediction only	POORLY CHARACTERIZED
P37147	UPF0716 protein fxsA OS=Escherichia coli (strain K12) GN=fxsA PE=1 SV=2	fxsA	17.66246555	R	General function prediction only	POORLY CHARACTERIZED
P0AEY3	Nucleoside triphosphate pyrophosphohydrolase OS=Escherichia coli (strain K12) GN=mazG PE=1 SV=1	mazG	30.37518521	R	General function prediction only	POORLY CHARACTERIZED
P37750	Putative lipopolysaccharide biosynthesis O-acetyl transferase wbbJ OS=Escherichia coli (strain K12) GN=wbbJ PE=3 SV=2	wbbJ	21.64343555	R	General function prediction only	POORLY CHARACTERIZED
P0A9T6	Uncharacterized HTH-type transcriptional regulator ybaQ OS=Escherichia coli (strain K12) GN=ybaQ PE=1 SV=1	ybaQ	13.14490646	R	General function prediction only	POORLY CHARACTERIZED
P0A898	Probable rRNA maturation factor YbeY OS=Escherichia coli (strain K12) GN=ybeY PE=1 SV=1	ybeY	17.49646109	R	General function prediction only	POORLY CHARACTERIZED
P0AAW1	Uncharacterized protein ybhP OS=Escherichia coli (strain K12) GN=ybhP PE=4 SV=1	ybhP	28.75360686	R	General function prediction only	POORLY CHARACTERIZED
P60869	Putative transport protein YbjL OS=Escherichia coli (strain K12) GN=ybjL PE=3 SV=1	ybjL	60.29383017	R	General function prediction only	POORLY CHARACTERIZED
P67699	Uncharacterized HTH-type transcriptional regulator YddM OS=Escherichia coli (strain K12) GN=yddM PE=3 SV=1	yddM	10.37646353	R	General function prediction only	POORLY CHARACTERIZED
P76342	Sulfoxide reductase catalytic subunit yedY OS=Escherichia coli (strain K12) GN=yedY PE=1 SV=1	yedY	37.32734044	R	General function prediction only	POORLY CHARACTERIZED
P33015	UPF0394 inner membrane protein yeeE OS=Escherichia coli (strain K12) GN=yeeE PE=1 SV=1	yeeE	38.05723736	R	General function prediction only	POORLY CHARACTERIZED
P60872	Putative transport protein YidE OS=Escherichia coli (strain K12) GN=yidE PE=3 SV=1	yidE	58.88301742	R	General function prediction only	POORLY CHARACTERIZED
P08550	Colicin V production protein OS=Escherichia coli (strain K12) GN=cvpA PE=1 SV=1	cvpA	17.87746152	R	General function prediction only	POORLY CHARACTERIZED
P31992	Tautomerase pptA OS=Escherichia coli (strain K12) GN=pptA PE=1 SV=3	pptA	8.64939596	R	General function prediction only	POORLY CHARACTERIZED
P76194	Cysteine desulfuration protein sufE OS=Escherichia coli (strain K12) GN=sufE PE=1 SV=1	sufE	15.77220615	R	General function prediction only	POORLY CHARACTERIZED
P75746	UPF0271 protein ybgL OS=Escherichia coli (strain K12) GN=ybgL PE=1 SV=1	ybgL	25.76606281	R	General function prediction only	POORLY CHARACTERIZED
P46144	Uncharacterized protein yedJ OS=Escherichia coli (strain K12) GN=yedJ PE=1 SV=2	yedJ	25.870071	R	General function prediction only	POORLY CHARACTERIZED
P39298	Esterase yjfP OS=Escherichia coli (strain K12) GN=yjfP PE=1 SV=1	yjfP	27.5528958	R	General function prediction only	POORLY CHARACTERIZED
P0A8Y1	Pyrimidine 5'-nucleotidase YjjG OS=Escherichia coli (strain K12) GN=yjjG PE=1 SV=1	yjjG	25.26664985	R	General function prediction only	POORLY CHARACTERIZED
P76561	Esterase YpfH OS=Escherichia coli (strain K12) GN=ypfH PE=3 SV=2	ypfH	24.8214456	R	General function prediction only	POORLY CHARACTERIZED
P0A8Z7	Esterase yqiA OS=Escherichia coli (strain K12) GN=yqiA PE=4 SV=1	yqiA	21.60974693	R	General function prediction only	POORLY CHARACTERIZED
P45468	UPF0718 protein yraQ OS=Escherichia coli (strain K12) GN=yraQ PE=3 SV=1	yraQ	37.21382031	R	General function prediction only	POORLY CHARACTERIZED
P0AE45	UPF0053 inner membrane protein ytfL OS=Escherichia coli (strain K12) GN=ytfL PE=1 SV=1	ytfL	49.71272916	R	General function prediction only	POORLY CHARACTERIZED
P31825	tRNA (adenine-N(6)-)-methyltransferase OS=Escherichia coli (strain K12) GN=yfiC PE=1 SV=2	yfiC	27.23444974	R	General function prediction only	POORLY CHARACTERIZED
P42597	Uncharacterized protein ygjP OS=Escherichia coli (strain K12) GN=ygjP PE=4 SV=2	ygjP	19.45221443	R	General function prediction only	POORLY CHARACTERIZED
P39407	Uncharacterized protein yjjU OS=Escherichia coli (strain K12) GN=yjjU PE=3 SV=1	yjjU	39.78853077	R	General function prediction only	POORLY CHARACTERIZED
P76223	Protein ynjB OS=Escherichia coli (strain K12) GN=ynjB PE=1 SV=2	ynjB	42.79984579	R	General function prediction only	POORLY CHARACTERIZED
P64493	Uncharacterized protein yoaF OS=Escherichia coli (strain K12) GN=yoaF PE=4 SV=1	yoaF	8.91850923	R	General function prediction only	POORLY CHARACTERIZED
P76344	Metal-binding protein ZinT OS=Escherichia coli (strain K12) GN=zinT PE=1 SV=1	zinT	24.72812029	R	General function prediction only	POORLY CHARACTERIZED
P21369	Pyrazinamidase/nicotinamidase OS=Escherichia coli (strain K12) GN=pncA PE=3 SV=1	pncA	23.32925303	Q	Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
P76078	Phenylacetic acid degradation protein paaB OS=Escherichia coli (strain K12) GN=paaB PE=2 SV=1	paaB	10.91731304	Q	Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
P37610	Alpha-ketoglutarate-dependent taurine dioxygenase OS=Escherichia coli (strain K12) GN=tauD PE=1 SV=3	tauD	32.37159819	Q	Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
P69681	Ammonia channel OS=Escherichia coli (strain K12) GN=amtB PE=1 SV=1	amtB	44.46744027	P	Inorganic ion transport and metabolism	METABOLISM
P62672	Protein ApaG OS=Escherichia coli (strain K12) GN=apaG PE=3 SV=1	apaG	13.84001621	P	Inorganic ion transport and metabolism	METABOLISM
P31801	Calcium/proton antiporter OS=Escherichia coli (strain K12) GN=chaA PE=1 SV=1	chaA	39.12507236	P	Inorganic ion transport and metabolism	METABOLISM
P0AEL3	Ferrous iron transport protein A OS=Escherichia coli (strain K12) GN=feoA PE=1 SV=1	feoA	8.34749547	P	Inorganic ion transport and metabolism	METABOLISM
P0A6V5	Thiosulfate sulfurtransferase glpE OS=Escherichia coli (strain K12) GN=glpE PE=1 SV=1	glpE	12.05661516	P	Inorganic ion transport and metabolism	METABOLISM
P0AFA7	Na(+)/H(+) antiporter nhaB OS=Escherichia coli (strain K12) GN=nhaB PE=1 SV=1	nhaB	56.67340997	P	Inorganic ion transport and metabolism	METABOLISM
P0AB96	Arsenate reductase OS=Escherichia coli (strain K12) GN=arsC PE=3 SV=1	arsC	15.82529134	P	Inorganic ion transport and metabolism	METABOLISM
P76007	Cell volume regulation protein A OS=Escherichia coli (strain K12) GN=cvrA PE=3 SV=2	cvrA	62.22745021	P	Inorganic ion transport and metabolism	METABOLISM
P0ACX9	Uncharacterized protein ydiE OS=Escherichia coli (strain K12) GN=ydiE PE=4 SV=1	ydiE	7.09482028	P	Inorganic ion transport and metabolism	METABOLISM
P64488	Uncharacterized protein yeaR OS=Escherichia coli (strain K12) GN=yeaR PE=1 SV=1	yeaR	13.58479585	P	Inorganic ion transport and metabolism	METABOLISM
P23485	Protein fecR OS=Escherichia coli (strain K12) GN=fecR PE=4 SV=1	fecR	35.49242604	PT	Inorganic ion transport and metabolism	METABOLISM
P31680	DnaJ-like protein djlA OS=Escherichia coli (strain K12) GN=djlA PE=1 SV=1	djlA	30.54154864	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P68688	Glutaredoxin-1 OS=Escherichia coli (strain K12) GN=grxA PE=1 SV=1	grxA	9.66076081	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P63284	Isoform ClpB-3 of Chaperone protein ClpB OS=Escherichia coli (strain K12) GN=clpB	clpB	95.50792428	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P77526	Probable disulfide bond reductase yfcG OS=Escherichia coli (strain K12) GN=yfcG PE=1 SV=1	yfcG	24.48257638	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P33014	UPF0033 protein yeeD OS=Escherichia coli (strain K12) GN=yeeD PE=3 SV=1	yeeD	8.12505516	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P05704	Methyl-accepting chemotaxis protein III OS=Escherichia coli (strain K12) GN=trg PE=1 SV=3	trg	58.84423824	NT	Cell motility	CELLULAR PROCESSES AND SIGNALING
P25798	Flagellar M-ring protein OS=Escherichia coli (strain K12) GN=fliF PE=1 SV=3	fliF	60.53419533	NU	Cell motility	CELLULAR PROCESSES AND SIGNALING
P52613	Flagellar fliJ protein OS=Escherichia coli (strain K12) GN=fliJ PE=3 SV=2	fliJ	17.27771067	NUO	Cell motility	CELLULAR PROCESSES AND SIGNALING
P0A9H9	Protein phosphatase CheZ OS=Escherichia coli (strain K12) GN=cheZ PE=1 SV=1	cheZ	23.94297338	NT	Cell motility	CELLULAR PROCESSES AND SIGNALING
